method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Submission,Herb Dean,middleweight,f1,Gerald Meerschaert,Bryan Barberena,1.17,1.28,64.71,32.43,1.28,1.17,67.57,35.29,4.8,0.0,42,0,100,58,0.21,0.0,185.42,182.88,83.91,83.91,195.58,182.88,Southpaw,Southpaw
Submission,Mike Beltran,lightweight,f1,Mike Davis,Natan Levy,0.45,1.19,42.86,88.89,1.19,0.45,11.11,57.14,0.0,2.23,0,100,0,100,0.15,0.0,182.88,175.26,70.31,70.31,182.88,180.34,Orthodox,Southpaw
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Chelsea Chandler,Josiane Nunes,3.87,3.13,44.62,44.76,3.13,3.87,55.24,55.38,2.0,0.0,100,0,100,0,0.0,0.0,172.72,157.48,61.23,61.23,172.72,170.18,Southpaw,Southpaw
Submission,Herb Dean,flyweight,f1,Jafel Filho,Ode Osbourne,4.72,0.0,60.0,0.0,0.0,4.72,100.0,40.0,3.37,0.0,100,0,100,0,0.45,0.0,170.18,170.18,56.7,56.7,172.72,185.42,Orthodox,Southpaw
Decision - Split,Mark Smith,featherweight,f1,Danny Silva,Josh Culibao,3.0,5.8,42.06,43.07,5.8,3.0,56.93,57.94,4.0,0.0,44,0,100,56,0.07,0.0,180.34,177.8,65.77,65.77,177.8,185.42,Switch,Orthodox
Submission,Mike Beltran,strawweight,f1,Jaqueline Amorim,Cory McKenna,1.84,2.45,60.0,36.36,2.45,1.84,63.64,40.0,0.0,9.18,0,100,0,100,2.45,0.0,160.02,160.02,52.16,52.16,172.72,147.32,Orthodox,Orthodox
KO/TKO,Mark Smith,lightweight,f1,Thiago Moises,Mitch Ramirez,2.44,1.56,64.1,33.33,1.56,2.44,66.67,35.9,2.93,0.0,100,0,100,0,0.1,0.0,175.26,180.34,70.31,70.31,177.8,180.34,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Chad Anheliger,Charalampos Grigoriou,5.67,1.4,54.84,32.31,1.4,5.67,67.69,45.16,0.0,4.0,0,80,20,100,0.0,0.0,167.64,170.18,61.23,61.23,162.56,170.18,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,bantamweight,f1,Sean O'Malley,Marlon Vera,9.2,3.56,64.61,36.93,3.56,9.2,63.07,35.39,0.0,0.0,0,0,100,100,0.0,0.0,180.34,172.72,61.23,61.23,182.88,177.8,Switch,Switch
KO/TKO,Mike Beltran,lightweight,f1,Dustin Poirier,Benoit Saint Denis,3.72,6.64,82.35,67.57,6.64,3.72,32.43,17.65,0.0,5.97,0,42,58,100,0.53,0.13,175.26,180.34,70.31,70.31,182.88,185.42,Southpaw,Southpaw
Decision - Unanimous,Dan Miragliotta,welterweight,f1,Michael Page,Kevin Holland,2.73,1.93,66.13,47.54,1.93,2.73,52.46,33.87,0.0,2.0,0,40,60,100,0.0,0.07,190.5,190.5,77.11,83.91,200.66,205.74,Switch,Orthodox
KO/TKO,Dan Miragliotta,welterweight,f1,Jack Della Maddalena,Gilbert Burns,4.88,1.97,54.47,46.55,1.97,4.88,53.45,45.53,0.0,7.65,0,63,37,100,0.0,0.0,180.34,177.8,77.11,77.11,185.42,180.34,Switch,Orthodox
Decision - Unanimous,Keith Peterson,bantamweight,f1,Petr Yan,Song Yadong,6.6,5.73,54.1,50.0,5.73,6.6,50.0,45.9,2.0,1.0,40,12,88,60,0.0,0.0,170.18,172.72,61.23,61.23,170.18,170.18,Switch,Orthodox
KO/TKO,Mike Beltran,heavyweight,f1,Curtis Blaydes,Jailton Almeida,2.86,0.18,64.0,33.33,0.18,2.86,66.67,36.0,0.0,24.11,0,69,31,100,0.0,0.0,193.04,190.5,120.2,92.99,203.2,200.66,Orthodox,Orthodox
Decision - Unanimous,Andrew Glenn,flyweight,f1,Maycee Barber,Katlyn Cerminara,5.6,4.4,56.0,43.42,4.4,5.6,56.58,44.0,4.0,1.0,100,16,84,0,0.0,0.0,165.1,175.26,56.7,56.7,165.1,172.72,Switch,Orthodox
Decision - Unanimous,Dan Miragliotta,lightweight,f1,Mateusz Gamrot,Rafael Dos Anjos,3.8,2.4,55.88,46.15,2.4,3.8,53.85,44.12,11.0,0.0,57,0,100,43,0.0,0.0,177.8,172.72,70.31,70.31,177.8,177.8,Southpaw,Southpaw
Decision - Unanimous,Keith Peterson,bantamweight,f1,Kyler Phillips,Pedro Munhoz,7.6,3.47,41.45,37.14,3.47,7.6,62.86,58.55,0.0,1.0,0,12,88,100,0.0,0.0,172.72,167.64,61.23,61.23,182.88,165.1,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,light heavyweight,f1,Philipe Lins,Ion Cutelaba,4.47,3.13,58.26,48.45,3.13,4.47,51.55,41.74,2.0,0.0,28,0,100,72,0.0,0.0,187.96,185.42,92.99,92.99,198.12,190.5,Orthodox,Southpaw
Submission,Dan Miragliotta,middleweight,f1,Michel Pereira,Michal Oleksiejczuk,10.82,0.98,73.33,25.0,0.98,10.82,75.0,26.67,0.0,0.0,0,0,100,100,0.98,0.0,185.42,182.88,83.91,83.91,185.42,187.96,Orthodox,Southpaw
KO/TKO,Andrew Glenn,heavyweight,f1,Robelis Despaigne,Josh Parisian,23.33,6.67,77.78,40.0,6.67,23.33,60.0,22.22,0.0,0.0,0,0,100,100,0.0,0.0,200.66,193.04,120.2,120.2,213.36,200.66,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,flyweight,f1,Asu Almabayev,CJ Vergara,2.93,1.93,57.14,54.72,1.93,2.93,45.28,42.86,9.0,0.0,64,0,100,36,0.0,0.0,162.56,167.64,56.7,56.7,165.1,172.72,Orthodox,Orthodox
Decision - Split,Mike Beltran,flyweight,f1,Joanne Wood,Maryna Moroz,9.07,6.8,54.62,52.31,6.8,9.07,47.69,45.38,1.0,1.0,100,50,50,0,0.0,0.0,167.64,170.18,56.7,56.7,165.1,170.18,Orthodox,Orthodox
KO/TKO,Marc Goddard,heavyweight,f1,Jairzinho Rozenstruik,Shamil Gaziev,6.35,1.1,59.07,32.35,1.1,6.35,67.65,40.93,0.0,0.75,0,14,86,100,0.0,0.0,187.96,193.04,109.77,120.2,198.12,198.12,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,light heavyweight,f1,Vitor Petrino,Tyson Pedro,1.8,2.0,36.0,50.0,2.0,1.8,50.0,64.0,3.0,0.0,60,0,100,40,0.0,0.0,187.96,190.5,92.99,92.99,195.58,200.66,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,flyweight,f1,Muhammad Mokaev,Alex Perez,3.13,2.0,45.19,34.48,2.0,3.13,65.52,54.81,3.0,0.0,15,0,100,85,0.0,0.0,170.18,167.64,56.7,56.7,177.8,165.1,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,bantamweight,f1,Umar Nurmagomedov,Bekzat Almakhan,4.53,0.2,69.39,18.75,0.2,4.53,81.25,30.61,5.0,0.0,100,0,100,0,0.0,0.0,172.72,170.18,61.23,61.23,175.26,172.72,Orthodox,Orthodox
KO/TKO,Chris Tognoni,flyweight,f1,Steve Erceg,Matt Schnell,6.26,4.05,47.22,28.21,4.05,6.26,71.79,52.78,0.0,0.0,0,0,100,100,0.0,0.0,172.72,172.72,56.7,56.7,172.72,177.8,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,middleweight,f1,Eryk Anders,Jamie Pickett,1.53,1.33,38.98,36.36,1.33,1.53,63.64,61.02,5.0,0.0,38,0,100,62,0.0,0.0,185.42,187.96,83.91,83.91,190.5,203.2,Southpaw,Orthodox
KO/TKO,Keith Peterson,bantamweight,f1,Vinicius Oliveira,Benardo Sopaj,4.56,3.06,46.53,52.33,3.06,4.56,47.67,53.47,2.04,3.06,50,75,25,50,0.0,0.0,175.26,167.64,61.23,61.23,177.8,167.64,Switch,Orthodox
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Aiemann Zahabi,Javid Basharat,5.0,4.47,43.1,32.68,4.47,5.0,67.32,56.9,0.0,0.0,0,0,100,100,0.0,0.0,172.72,175.26,61.23,61.23,172.72,175.26,Orthodox,Orthodox
KO/TKO,Mark Smith,middleweight,f1,Christian Leroy Duncan,Claudio Ribeiro,9.35,0.58,70.65,15.38,0.58,9.35,84.62,29.35,2.16,0.0,50,0,100,50,0.0,0.0,187.96,185.42,83.91,83.91,200.66,195.58,Switch,Orthodox
KO/TKO,Keith Peterson,lightweight,f1,Ludovit Klein,AJ Cunningham,13.04,7.83,65.93,48.0,7.83,13.04,52.0,34.07,6.52,0.0,66,0,100,34,0.0,0.0,170.18,177.8,70.31,70.31,182.88,180.34,Southpaw,Orthodox
KO/TKO,Chris Tognoni,lightweight,f1,Loik Radzhabov,Abdul-Kareem Al-Selwady,3.61,3.51,43.33,55.88,3.51,3.61,44.12,56.67,5.55,4.16,80,42,58,20,0.0,0.0,180.34,172.72,70.31,70.31,175.26,175.26,Orthodox,Orthodox
Decision - Split,Herb Dean,flyweight,f1,Brandon Royval,Brandon Moreno,5.8,4.48,28.43,53.08,4.48,5.8,46.92,71.57,0.6,1.8,50,60,40,50,0.0,0.0,175.26,170.18,56.7,56.7,172.72,177.8,Southpaw,Orthodox
Submission,Marc Goddard,featherweight,f1,Brian Ortega,Yair Rodriguez,2.55,5.02,38.36,47.83,5.02,2.55,52.17,61.64,4.1,0.0,50,0,100,50,0.09,0.0,172.72,180.34,65.77,65.77,175.26,180.34,Switch,Orthodox
Decision - Unanimous,Mike Beltran,lightweight,f1,Daniel Zellhuber,Francisco Prado,8.0,6.0,44.12,36.59,6.0,8.0,63.41,55.88,0.0,0.0,0,0,100,100,0.0,0.0,185.42,177.8,70.31,70.31,195.58,175.26,Switch,Orthodox
Decision - Unanimous,Herb Dean,strawweight,f1,Yazmin Jauregui,Sam Hughes,6.27,5.53,34.94,42.13,5.53,6.27,57.87,65.06,0.0,0.0,0,0,100,100,0.0,0.0,160.02,165.1,52.16,52.16,162.56,162.56,Orthodox,Orthodox
Submission,Mike Beltran,lightweight,f1,Manuel Torres,Chris Duncan,1.7,0.57,60.0,50.0,0.57,1.7,50.0,40.0,16.98,8.49,100,33,67,0,0.57,0.0,177.8,177.8,70.31,70.31,185.42,180.34,Switch,Orthodox
Submission,Bladimir Puga,bantamweight,f1,Raoni Barcelos,Cristian Quinonez,3.56,2.4,58.11,35.37,2.4,3.56,64.63,41.89,2.49,2.49,16,28,72,84,0.17,0.0,170.18,172.72,61.23,61.23,170.18,177.8,Orthodox,Orthodox
Decision - Split,Fernando Salas Navarro,flyweight,f1,Jesus Aguilar,Mateus Mendonca,1.27,1.2,52.78,45.0,1.2,1.27,55.0,47.22,1.0,4.0,25,50,50,75,0.07,0.07,162.56,167.64,56.7,56.7,157.48,180.34,Orthodox,Orthodox
Submission,Marc Goddard,flyweight,f1,Edgar Chairez,Daniel Lacerda,3.94,1.75,60.0,23.53,1.75,3.94,76.47,40.0,0.0,6.57,0,100,0,100,0.44,0.0,170.18,167.64,56.7,56.7,180.34,177.8,Orthodox,Switch
Decision - Split,Herb Dean,lightweight,f1,Fares Ziam,Claudio Puelles,2.07,0.27,64.58,44.44,0.27,2.07,55.56,35.42,0.0,7.0,0,53,47,100,0.07,0.0,185.42,177.8,70.31,70.31,190.5,182.88,Orthodox,Southpaw
Submission,Mike Beltran,flyweight,f1,Ronaldo Rodriguez,Denys Bondar,3.11,4.11,44.93,65.08,4.11,3.11,34.92,55.07,0.0,6.01,0,66,34,100,0.1,0.0,167.64,167.64,56.7,56.7,165.1,175.26,Orthodox,Orthodox
Decision - Split,Bladimir Puga,flyweight,f1,Felipe dos Santos,Victor Altamirano,2.47,2.67,42.53,54.05,2.67,2.47,45.95,57.47,0.0,9.0,0,81,19,100,0.07,0.0,170.18,172.72,56.7,56.7,177.8,177.8,Orthodox,Switch
KO/TKO,Fernando Salas Navarro,featherweight,f1,Muhammad Naimov,Erik Silva,1.36,0.0,50.0,0.0,0.0,1.36,100.0,50.0,20.45,0.0,100,0,100,0,0.0,0.0,175.26,175.26,65.77,65.77,177.8,180.34,Orthodox,Orthodox
KO/TKO,Jason Herzog,featherweight,f1,Ilia Topuria,Alexander Volkanovski,4.1,5.51,45.45,43.93,5.51,4.1,56.07,54.55,0.0,0.0,0,0,100,100,0.0,0.0,170.18,167.64,65.77,65.77,175.26,180.34,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,middleweight,f1,Robert Whittaker,Paulo Costa,6.33,4.47,54.29,44.37,4.47,6.33,55.63,45.71,0.0,0.0,0,0,100,100,0.0,0.0,182.88,185.42,83.91,83.91,185.42,182.88,Orthodox,Orthodox
Decision - Split,Frank Trigg,welterweight,f1,Ian Machado Garry,Geoff Neal,4.47,3.07,49.63,51.69,3.07,4.47,48.31,50.37,0.0,0.0,0,0,100,100,0.0,0.0,190.5,180.34,77.11,77.11,187.96,190.5,Orthodox,Southpaw
Decision - Unanimous,Jonathan Romero,bantamweight,f1,Merab Dvalishvili,Henry Cejudo,4.93,1.93,43.02,37.18,1.93,4.93,62.82,56.98,5.0,1.0,45,14,86,55,0.07,0.0,167.64,162.56,61.23,61.23,172.72,162.56,Orthodox,Orthodox
Submission,Jason Herzog,middleweight,f1,Anthony Hernandez,Roman Kopylov,4.06,4.17,44.16,61.4,4.17,4.06,38.6,55.84,5.37,0.0,21,0,100,79,0.24,0.0,182.88,182.88,83.91,83.91,190.5,190.5,Orthodox,Southpaw
Decision - Unanimous,Mike Beltran,strawweight,f1,Amanda Lemos,Mackenzie Dern,2.73,1.4,51.25,38.89,1.4,2.73,61.11,48.75,2.0,1.0,100,33,67,0,0.0,0.0,162.56,162.56,52.16,52.16,165.1,160.02,Southpaw,Orthodox
KO/TKO,Frank Trigg,heavyweight,f1,Marcos Rogerio de Lima,Junior Tafa,5.29,1.76,71.74,40.74,1.76,5.29,59.26,28.26,2.41,0.0,33,0,100,67,0.0,0.0,185.42,190.5,114.76,108.86,190.5,190.5,Orthodox,Orthodox
Decision - Unanimous,Jonathan Romero,bantamweight,f1,Rinya Nakamura,Carlos Vera,2.53,0.8,54.29,48.0,0.8,2.53,52.0,45.71,3.0,0.0,100,0,100,0,0.0,0.0,170.18,167.64,61.23,61.23,172.72,175.26,Southpaw,Orthodox
KO/TKO,Mike Beltran,light heavyweight,f1,Zhang Mingyang,Brendson Ribeiro,10.1,8.32,60.71,45.16,8.32,10.1,54.84,39.29,0.0,0.0,0,0,100,100,0.0,0.0,187.96,190.5,92.99,92.99,190.5,205.74,Orthodox,Orthodox
KO/TKO,Jason Herzog,welterweight,f1,Danny Barlow,Josh Quinlan,8.41,3.45,51.35,43.33,3.45,8.41,56.67,48.65,0.0,0.0,0,0,100,100,0.0,0.0,187.96,182.88,77.11,77.11,200.66,182.88,Southpaw,Orthodox
Decision - Unanimous,Jonathan Romero,welterweight,f1,Oban Elliott,Val Woodburn,4.67,1.53,63.06,37.7,1.53,4.67,62.3,36.94,3.0,2.0,60,100,0,40,0.0,0.0,182.88,172.72,77.11,77.11,182.88,187.96,Orthodox,Orthodox
Decision - Unanimous,Frank Trigg,flyweight,f1,Miranda Maverick,Andrea Lee,4.4,2.4,48.53,35.29,2.4,4.4,64.71,51.47,3.0,2.0,37,66,34,63,0.0,0.07,160.02,167.64,56.7,56.7,165.1,175.26,Southpaw,Orthodox
Decision - Unanimous,Mark Smith,middleweight,f1,Jack Hermansson,Joe Pyfer,4.84,3.68,51.49,36.8,3.68,4.84,63.2,48.51,0.6,0.0,50,0,100,50,0.0,0.0,185.42,187.96,83.91,83.91,195.58,190.5,Orthodox,Orthodox
KO/TKO,Jason Herzog,featherweight,f1,Dan Ige,Andre Fili,4.05,2.94,57.89,24.24,2.94,4.05,75.76,42.11,0.0,0.0,0,0,100,100,0.0,0.0,170.18,180.34,65.77,65.77,180.34,187.96,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,middleweight,f1,Ihor Potieria,Robert Bryczek,4.47,2.13,39.88,24.06,2.13,4.47,75.94,60.12,0.0,0.0,0,0,100,100,0.0,0.0,190.5,182.88,83.91,83.91,190.5,190.5,Southpaw,Orthodox
KO/TKO,Jason Herzog,middleweight,f1,Gregory Rodrigues,Brad Tavares,6.5,3.39,57.72,44.05,3.39,6.5,55.95,42.28,2.75,0.0,33,0,100,67,0.0,0.0,190.5,185.42,83.91,83.91,190.5,187.96,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,lightweight,f1,Michael Johnson,Darrius Flowers,4.07,2.2,54.46,51.56,2.2,4.07,48.44,45.54,4.0,0.0,50,0,100,50,0.0,0.0,177.8,175.26,70.31,70.31,185.42,180.34,Southpaw,Orthodox
Submission,Mark Smith,middleweight,f1,Rodolfo Vieira,Armen Petrosyan,1.25,1.88,54.55,45.0,1.88,1.25,55.0,45.45,9.38,0.0,100,0,100,0,0.21,0.0,182.88,190.5,83.91,83.91,185.42,180.34,Orthodox,Orthodox
KO/TKO,Mike Beltran,welterweight,f1,Carlos Prates,Trevin Giles,4.09,7.51,51.39,66.67,7.51,4.09,33.33,48.61,0.0,0.0,0,0,100,100,0.0,0.0,185.42,182.88,77.11,77.11,198.12,187.96,Switch,Orthodox
Decision - Split,Chris Tognoni,lightweight,f1,Bolaji Oki,Timmy Cuamba,4.0,2.2,39.47,35.11,2.2,4.0,64.89,60.53,1.0,1.0,100,16,84,0,0.0,0.0,177.8,175.26,70.31,65.77,185.42,180.34,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,strawweight,f1,Loma Lookboonmee,Bruna Brasil,3.87,1.87,51.79,44.44,1.87,3.87,55.56,48.21,1.0,1.0,50,50,50,50,0.0,0.0,154.94,167.64,52.16,52.16,154.94,165.1,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,light heavyweight,f1,Marcin Prachnio,Devin Clark,6.73,3.53,53.44,41.73,3.53,6.73,58.27,46.56,1.0,0.0,100,0,100,0,0.0,0.0,190.5,182.88,92.99,92.99,187.96,190.5,Orthodox,Orthodox
Decision - Split,Chris Tognoni,welterweight,f1,Max Griffin,Jeremiah Wells,1.73,2.13,49.06,37.21,2.13,1.73,62.79,50.94,1.0,1.0,50,50,50,50,0.0,0.0,180.34,175.26,77.11,77.11,193.04,187.96,Orthodox,Switch
KO/TKO,Mike Beltran,light heavyweight,f1,Bogdan Guskov,Zac Pauga,2.75,4.68,34.48,65.38,4.68,2.75,34.62,65.52,0.0,0.0,0,0,100,100,0.0,0.0,190.5,187.96,92.99,92.99,193.04,193.04,Orthodox,Orthodox
KO/TKO,Mark Smith,featherweight,f1,Hyder Amil,Fernie Garcia,10.97,3.61,54.86,32.91,3.61,10.97,67.09,45.14,2.08,0.0,33,0,100,67,0.28,0.0,175.26,170.18,65.77,61.23,177.8,170.18,Switch,Orthodox
Decision - Split,Herb Dean,middleweight,f1,Nassourdine Imavov,Roman Dolidze,4.48,1.36,59.26,22.37,1.36,4.48,77.63,40.74,0.0,0.0,0,0,100,100,0.04,0.0,190.5,187.96,83.91,83.91,190.5,193.04,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,lightweight,f1,Renato Moicano,Drew Dober,1.53,1.53,54.76,38.98,1.53,1.53,61.02,45.24,3.0,1.0,50,50,50,50,0.0,0.0,180.34,172.72,70.31,70.31,182.88,177.8,Orthodox,Southpaw
KO/TKO,Kerry Hatley,welterweight,f1,Randy Brown,Muslim Salikhov,3.96,3.05,28.26,45.45,3.05,3.96,54.55,71.74,0.0,0.0,0,0,100,100,0.0,0.0,190.5,180.34,77.11,77.11,198.12,177.8,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,flyweight,f1,Natalia Silva,Viviane Araujo,2.53,1.73,29.69,38.81,1.73,2.53,61.19,70.31,0.0,1.0,0,11,89,100,0.0,0.0,162.56,162.56,56.7,56.7,165.1,172.72,Southpaw,Orthodox
KO/TKO,Mark Smith,welterweight,f1,Charles Radtke,Gilbert Urbina,6.27,3.34,63.83,42.11,3.34,6.27,57.89,36.17,0.0,0.0,0,0,100,100,0.0,0.0,175.26,190.5,77.11,77.11,182.88,190.5,Orthodox,Orthodox
Submission,Kerry Hatley,strawweight,f1,Molly McCann,Diana Belbita,8.43,5.82,46.15,37.66,5.82,8.43,62.34,53.85,6.02,0.0,100,0,100,0,0.2,0.0,162.56,170.18,52.16,52.16,157.48,172.72,Orthodox,Orthodox
Decision - Unanimous,Eric McMahon,flyweight,f1,Charles Johnson,Azat Maksum,5.07,2.53,54.29,23.31,2.53,5.07,76.69,45.71,2.0,2.0,33,28,72,67,0.2,0.07,175.26,170.18,56.7,56.7,177.8,177.8,Switch,Southpaw
KO/TKO,Herb Dean,welterweight,f1,Themba Gorimbo,Pete Rodriguez,22.5,0.0,66.67,0.0,0.0,22.5,100.0,33.33,0.0,0.0,0,0,100,100,0.0,0.0,185.42,175.26,77.11,77.11,195.58,180.34,Orthodox,Switch
Decision - Unanimous,Mark Smith,featherweight,f1,JeongYeong Lee,Blake Bilder,3.27,1.27,59.76,35.19,1.27,3.27,64.81,40.24,2.0,0.0,66,0,100,34,0.0,0.0,177.8,172.72,65.77,65.77,185.42,172.72,Orthodox,Switch
KO/TKO,Eric McMahon,flyweight,f1,Luana Carolina,Julija Stoliarenko,4.44,1.08,48.53,27.12,1.08,4.44,72.88,51.47,2.02,1.01,66,20,80,34,0.0,0.2,167.64,170.18,56.7,56.7,175.26,167.64,Orthodox,Orthodox
Decision - Unanimous,Kerry Hatley,lightweight,f1,MarQuel Mederos,Landon Quinones,4.0,3.67,41.1,36.91,3.67,4.0,63.09,58.9,0.0,1.0,0,33,67,100,0.0,0.0,177.8,175.26,70.31,70.31,175.26,177.8,Orthodox,Southpaw
Decision - Unanimous,Eric McMahon,heavyweight,f1,Jamal Pogues,Thomas Petersen,4.33,3.87,52.42,67.44,3.87,4.33,32.56,47.58,0.0,1.0,0,16,84,100,0.0,0.0,190.5,185.42,92.99,119.75,195.58,187.96,Orthodox,Southpaw
Decision - Split,Marc Goddard,middleweight,f1,Dricus Du Plessis,Sean Strickland,5.48,6.92,38.7,42.4,6.92,5.48,57.6,61.3,3.6,0.0,54,0,100,46,0.0,0.0,185.42,185.42,83.91,83.91,193.04,193.04,Switch,Orthodox
Decision - Unanimous,Jerin Valel,bantamweight,f1,Raquel Pennington,Mayra Bueno Silva,5.36,2.76,66.67,78.41,2.76,5.36,21.59,33.33,0.6,1.8,33,33,67,67,0.08,0.12,170.18,167.64,61.23,61.23,170.18,167.64,Orthodox,Orthodox
KO/TKO,Kevin MacDonald,welterweight,f1,Neil Magny,Mike Malott,3.86,3.05,55.88,67.16,3.05,3.86,32.84,44.12,1.02,4.07,50,66,34,50,0.0,0.0,190.5,185.42,77.11,77.11,203.2,185.42,Orthodox,Orthodox
Decision - Split,Todd Ronald Anderson,middleweight,f1,Chris Curtis,Marc-Andre Barriault,9.33,8.13,54.26,50.21,8.13,9.33,49.79,45.74,0.0,0.0,0,0,100,100,0.0,0.0,177.8,185.42,83.91,83.91,190.5,187.96,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,featherweight,f1,Movsar Evloev,Arnold Allen,3.4,3.93,43.22,42.14,3.93,3.4,57.86,56.78,5.0,0.0,29,0,100,71,0.0,0.07,170.18,172.72,65.77,65.77,182.88,177.8,Orthodox,Southpaw
Decision - Unanimous,Kevin MacDonald,bantamweight,f1,Garrett Armfield,Brad Katona,7.0,4.27,62.5,41.29,4.27,7.0,58.71,37.5,0.0,4.0,0,44,56,100,0.0,0.0,167.64,167.64,61.23,61.23,177.8,162.56,Orthodox,Orthodox
Decision - Split,Jerin Valel,featherweight,f1,Sean Woodson,Charles Jourdain,5.33,4.0,47.62,38.46,4.0,5.33,61.54,52.38,1.0,0.0,33,0,100,67,0.0,0.07,187.96,175.26,65.77,65.77,198.12,175.26,Orthodox,Switch
Decision - Split,Todd Ronald Anderson,bantamweight,f1,Ramon Taveras,Serhiy Sidey,4.13,5.27,42.18,34.96,5.27,4.13,65.04,57.82,0.0,0.0,0,0,100,100,0.0,0.0,172.72,180.34,61.23,61.23,177.8,182.88,Southpaw,Switch
KO/TKO,Kevin MacDonald,strawweight,f1,Gillian Robertson,Polyana Viana,2.8,1.46,58.97,29.27,1.46,2.8,70.73,41.03,3.66,0.0,100,0,100,0,0.12,0.0,165.1,165.1,52.16,52.16,160.02,170.18,Orthodox,Orthodox
Submission,Brian Beauchamp,welterweight,f1,Sam Patterson,Yohan Lainesse,2.44,0.49,50.0,11.11,0.49,2.44,88.89,50.0,7.32,0.0,100,0,100,0,0.49,0.0,190.5,185.42,77.11,77.11,198.12,193.04,Orthodox,Orthodox
Submission,Mathew  Rocca,bantamweight,f1,Jasmine Jasudavicius,Priscila Cachoeira,6.48,1.67,77.5,48.0,1.67,6.48,52.0,22.5,2.09,0.0,40,0,100,60,0.21,0.0,170.18,170.18,56.7,56.7,172.72,165.1,Orthodox,Orthodox
Submission,Todd Ronald Anderson,flyweight,f1,Jimmy Flick,Malcolm Gordon,0.48,5.89,42.86,52.86,5.89,0.48,47.14,57.14,2.39,2.39,25,100,0,75,0.64,0.16,170.18,170.18,56.7,56.7,172.72,180.34,Orthodox,Switch
KO/TKO,Marc Goddard,light heavyweight,f1,Magomed Ankalaev,Johnny Walker,5.06,3.12,67.24,33.8,3.12,5.06,66.2,32.76,0.0,0.0,0,0,100,100,0.0,0.0,190.5,198.12,92.99,92.99,190.5,208.28,Orthodox,Orthodox
Submission,Dan Miragliotta,lightweight,f1,Jim Miller,Gabriel Benitez,5.96,5.96,57.14,43.96,5.96,5.96,56.04,42.86,2.24,0.0,100,0,100,0,0.07,0.0,172.72,172.72,70.31,70.31,180.34,180.34,Southpaw,Southpaw
Decision - Unanimous,Mark Smith,bantamweight,f1,Mario Bautista,Ricky Simon,7.47,3.0,41.48,41.67,3.0,7.47,58.33,58.52,0.0,2.0,0,15,85,100,0.0,0.0,175.26,167.64,61.23,61.23,175.26,175.26,Switch,Orthodox
KO/TKO,Chris Tognoni,middleweight,f1,Brunno Ferreira,Phil Hawes,3.86,2.64,44.19,48.15,2.64,3.86,51.85,55.81,3.05,0.0,25,0,100,75,0.0,0.0,177.8,182.88,83.91,83.91,182.88,195.58,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,heavyweight,f1,Waldo Cortes-Acosta,Andrei Arlovski,3.27,3.87,36.03,45.67,3.87,3.27,54.33,63.97,0.0,0.0,0,0,100,100,0.0,0.0,193.04,190.5,117.93,108.86,198.12,195.58,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,welterweight,f1,Preston Parsons,Matthew Semelsberger,3.13,1.87,54.02,40.58,1.87,3.13,59.42,45.98,7.0,1.0,63,50,50,37,0.13,0.13,180.34,185.42,77.11,77.11,180.34,190.5,Orthodox,Switch
KO/TKO,Mark Smith,bantamweight,f1,Marcus McGhee,Gaston Bolanos,7.66,3.3,52.85,34.57,3.3,7.66,65.43,47.15,1.77,0.0,33,0,100,67,0.0,0.0,172.72,170.18,61.23,61.23,175.26,175.26,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Farid Basharat,Taylor Lapilus,2.8,2.67,42.0,43.01,2.67,2.8,56.99,58.0,5.0,0.0,31,0,100,69,0.07,0.0,172.72,167.64,61.23,61.23,180.34,185.42,Orthodox,Southpaw
